Processes,Threads,Execution Time (s),Confidence Interval
1,1,22.8309,0.0133
1,2,22.92739,0.00501
1,4,22.92337,0.00580
1,8,22.7878,0.0491
1,16,22.7755,0.0208
1,32,22.75276,0.00767
8,1,7.9325,0.0147
8,2,7.8752,0.0141
8,4,7.97516,0.00972
8,8,7.85789,0.00842
8,16,7.81794,0.00824
8,32,7.8511,0.0117
16,1,8.6386,0.0731
16,2,8.7128,0.0713
16,4,8.8836,0.0833
16,8,8.6536,0.0836
16,16,8.5966,0.0676
16,32,8.5745,0.0709
32,1,10.1969,0.0815
32,2,10.4930,0.0941
32,4,10.715,0.102
32,8,10.170,0.104
32,16,10.122,0.107
32,32,10.099,0.108
64,1,13.9680,0.0716
64,2,14.1752,0.0538
64,4,14.4150,0.0756
64,8,13.2799,0.0332
64,16,13.3082,0.0228
64,32,13.3262,0.0502
